MLS No,Latitude,Longitude
41061523,37.8205145,-122.2110863
ML81918158,37.2278734,-121.8818477
ML81964998,37.2372932,-121.8301956
41055417,37.7747639,-122.2016644
ML81943216,37.3644166,-121.8590342
41031534,37.7966719,-122.2308228
BA324055564,38.2886088,-122.2946037
ML81959384,37.2304123,-121.8757622
41058919,37.736058,-122.1381214
ME224054044,37.3601015,-121.8640442
41061722,37.8136328,-122.2259805
ML81967504,37.2641339,-121.9901015
ML81931469,37.2671866,-121.8005017
41034311,37.3125354,-121.8173888
ML81953204,37.3061876,-121.946151
ML81962755,37.2795296,-121.9160003
ML81914759,37.2699658,-121.8960708
ML81965350,37.300641,-121.8879141
BA323014864,37.9992988,-122.550491
41035166,37.822597,-122.1927921
ML81926264,37.2796451,-121.9022218
ML81933714,37.3112661,-121.9293603
ME223081704,37.8269214,-122.2617338
ME223078908,38.8363502,-121.2518615
ML81937498,37.3438185,-121.7949166
ML81970961,37.2263655,-121.899571
ML81940348,37.3721038,-121.8719228
ML81933368,37.267426,-121.8272317
41040420,37.7795773,-122.1949327
41051932,37.87879909999999,-122.0799859
ML81951829,37.2118725,-121.8398516
ML81958283,37.265794,-121.9265335
ML81973476,37.2116553,-121.8520275
ML81943817,37.3552561,-121.9023128
41063154,37.7993027,-122.2455253
ML81930932,37.2640187,-121.8829214
BA324053760,38.3321622,-122.3318523
BA323903224,38.0119362,-122.5482969
41061350,37.792285,-122.1958967
41047767,37.7853117,-122.1999192
ME222128330,38.6638746,-121.0647275
ML81952559,37.2954932,-121.900884
ML81966047,37.374344,-121.8826101
ML81949929,37.3804073,-121.8629222
ML81963118,37.202384,-122.0678393
41045545,37.7439091,-122.1731454
ML81927117,37.2436105,-121.7976448
ML81946260,37.33078630000001,-121.7795572
41041730,37.8205519,-122.2575679
41046860,37.7974981,-122.2257638
BA323038040,38.3248438,-122.3316945
ML81969920,37.2184441,-121.7611968
ML81975750,37.4106595,-121.8526021
ML81963652,37.3572595,-122.0065426
ML81917469,37.273862,-121.8873287
ML81937118,37.2686768,-121.8917557
ML81943350,37.3811744,-121.8841328
ML81962860,37.3132244,-121.8924978
ML81973160,37.3239539,-121.8229989
ME224081847,38.6541437,-121.337843
ML81965063,37.4142654,-121.9594342
41038546,37.8186693,-122.1889409
ML81925303,37.7728382,-122.1708097
41027514,37.89354,-122.2767372
41049367,37.7594948,-122.138415
BA324010516,38.3134969,-122.3257469
ME224017598,39.2125048,-121.0604059
BA323006908,38.2911187,-122.2847371
ML81947618,37.3161449,-121.9823522
ME223048385,39.1447142,-121.0590292
ML81926224,37.2479058,-121.9626922
41051940,37.3981176,-121.8592786
ML81971607,37.3544876,-121.8065031
ML81965814,37.39165450000001,-121.8674793
41053919,37.8002581,-122.1664393
41032235,37.7921878,-122.2210369
41051140,37.8515545,-122.2497566
ML81964786,37.2316013,-121.8362812
ML81955098,37.2832099,-121.8323782
41029575,37.8113287,-122.2269346
ML81954986,37.2536673,-121.938243
ML81936841,37.2496889,-121.8062823
ML81954810,37.3468446,-121.9282027
ML81943849,37.2810354,-121.8889497
41044164,37.7435019,-122.1591975
ML81914981,37.3005951,-121.995437
41034129,37.7603257,-122.1468181
ML81931494,37.2882808,-121.7625296
ML81943096,37.2504145,-121.9488996
41065909,37.7889167,-122.1877994
ME224020559,38.6991508,-121.0916933
ME224044942,38.6764455,-121.1121435
41013840,37.7756651,-122.1934238
41051308,37.8125841,-122.2292788
ML81946075,37.2755627,-121.9160433
41061144,37.3337362,-121.8266318
41046829,37.7665679,-122.1736072
ML81971451,37.2033393,-121.8012379
CROC24096357,36.778261,-119.4179324
ML81935160,37.3087641,-121.9412674
41029135,37.8306597,-122.204932
41038592,37.80977,-122.241955
41042583,37.832508,-122.2469407
41062395,37.78727240000001,-122.191189
41035508,37.8466589,-122.256584
41034127,37.7544567,-122.1795714
ML81930378,37.3016567,-121.8242446
CRSC23052230,38.5413539,-121.7717768
ML81914276,37.2962587,-121.8370406
41016138,37.8288869,-122.2466762
41017463,37.8480163,-122.2370799
ML81968192,37.3492854,-121.8197247
ML81920282,37.2905319,-121.919563
41020895,37.79402779999999,-122.2374698
BA323040430,38.3135393,-122.2898461
41039841,37.811631,-122.2388382
BA324039389,38.3428703,-122.3132097
ML81945918,37.2169206,-121.8700528
ML81947555,37.277291,-121.7584021
41040236,37.8750275,-122.0878332
ML81959307,37.3409518,-121.9520514
ML81939380,37.2638037,-121.9092228
ML81953355,37.320505,-121.8389289
ML81963835,37.2429575,-121.8319492
41036445,37.8117053,-122.2356371
ME223107529,39.2425507,-121.0625717
41024243,37.8382683,-122.210542
41022912,37.7672163,-122.1862897
ML81959173,37.1926449,-121.825279
BA323027705,38.3373347,-122.3206232
ML81913624,37.2475429,-121.8142289
41016557,37.8892005,-122.069774
41051876,37.8814522,-122.2567781
41032969,37.33031039999999,-121.7951182
ML81912203,37.3894528,-121.9412675
41019934,37.7868497,-122.2145762
BA323051453,38.4380479,-122.5682279
ML81971599,37.2711146,-121.9098973
ML81964719,37.2422583,-121.8502543
SF423755715,37.7637507,-122.1690504
ML81946634,37.2229073,-121.7648344
41036359,37.8380185,-122.2165156
ML81915468,37.2295506,-121.8016613
ML81976120,37.3528441,-121.815467
ML81935414,37.227202,-121.7978863
ML81964952,37.2839799,-121.7479038
41048969,37.7985688,-122.1780298
41052223,37.8416328,-122.1994266
41013538,37.8372034,-122.2273922
41058240,37.7901477,-122.2150922
ME224026211,38.8307096,-121.2776315
41037775,37.97073839999999,-122.3320209
BA322102374,37.8655326,-122.2889894
41051453,37.8434008,-122.2209013
ML81970823,37.292088,-121.7624366
ML81963091,37.3371679,-121.9316719
41036498,37.8059278,-122.2176594
ML81940761,37.2690518,-121.890312
41049011,37.824032,-122.1893748
41070139,37.8364739,-122.2586
41044615,37.7638082,-122.190564
ML81965713,37.2651972,-121.9101319
41055567,37.7387314,-122.1708421
41050926,37.8106138,-122.2282293
BA323021119,37.77672150000001,-122.1690726
41051137,37.7748627,-122.1922757
ML81967926,37.3113642,-121.9831007
41029047,37.9220365,-122.0599588
ML81963671,37.3212266,-121.8139497
ME224000572,37.8048683,-122.2182998
ML81937686,37.3158073,-121.9617596
41062267,37.8558602,-122.0596873
BA324007579,38.4714638,-122.6797725
ML81961874,37.3053214,-121.7792069
ML81923242,37.260912,-121.8697242
41049959,37.7721254,-122.1689506
ML81925553,37.3412579,-121.8316559
41021994,37.8398071,-122.2152573
ML81966024,37.232409,-121.92028
41057356,37.8359858,-122.2222894
41029632,37.9705966,-122.335251
BA323023191,38.4518494,-122.6781468
ML81954510,37.249306,-121.826599
ML81950094,37.3109122,-121.9731315
ML81959065,37.21900249999999,-121.8653416
ML81942728,37.3409196,-121.8750334
